B0001|Programming Fundamentals in Java|Iqbal & Khan|PF|available
B0002|Data Science 101|Smith & Jones|DataScience|available
B0003|Functional English|Mary Brown|English|issued
B0004|Civic Education Basics|Khan & Tanveer|Civic|available
B0005|Calculus I|Stewart|Math|issued
B0006|Discrete Mathematics|Graham, Knuth|Math|available
B0007|Database System Concepts|Silberschatz|CS|available
B0008|Object-Oriented Programming|Lafore|CS|issued
B0009|Principles of Economics|Mankiw|Economics|available
B0010|Introduction to Algorithms|Cormen|CS|available
B0011|Technical Writing|Anderson|English|available
B0012|C# Programming Fundamentals|Liberty|PF|issued
B0013|Machine Learning Basics|Alpaydin|DataScience|available
B0014|Digital Logic Design|M. Morris Mano|CS|available
B0015|Environmental Studies|Eisler|Civic|available
B0016|Linear Algebra|Strang|Math|available
B0017|Networking Essentials|Forouzan|CS|issued
B0018|Software Engineering|Pressman|CS|available
B0019|Psychology Today|Baron|English|available
B0020|International Relations|Goldstein|Civic|available
